Nama Produk,Komentar,Penilaian
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]","Responnya baik, pengirimannya lumayan cepat, dan semoga rasanya sesuai selera saya",4
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]","Rasanya enak dan baru di coba yang sambel cumi nya , pedes nya pas. Semoga yang lain juga rasanya enak .",4
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]","Datang tepat waktu, dikemas dengan rapi. Sukses selalu eat sambel",4
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]","Rasanya asin, bagi yang suka sambal pedas manis mungkin perlu ditambah gula merah.",4
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]","Kl aq sih pribadi cm ngilangin rasa pnasaran aja,, kl udh tau rasa ydh gk akan balik beli lg. . produknya cm dikasih dikit bgt, yg bnyak itu minyaknya.. gk worth it mnurutku..bkn jualan cumi ini mah jualan minyak cabe . .",2
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]","Maaf ya bukan menjatuhkan produknya cuman semoga ada perbaikan, karna kasihan yg beli. Kecewa sih harga mahal isinya cuman setengah kebanyakan minyak lagi, satu kaleng ada yg tulisannya cuman 90 gram seharusnya 120 gram",2
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]","Sayang bgt padahal packagingnya bagus bgtt tapi rasanya kurang di lidah saya, jauh dari ekspektasi tp gaperlu di refund sih ya walaupun slogannya klo gaenak garansi uang kembali makasih seller",2
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]",Menurut ku harga nya kemahalan deh 29 rb satu nya dgn ukuran sekecil itu kalo beli mending mikir mikir dulu deh Jagan tergiur dgn iklan Bagus dipacking nya aja kali rasa lebih enakan buatan sendiri,2
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]","Ayam suir sangattttttt manis, yang lain nya rasanya agak aneh menurut saya. TAPI SELERA ORANG BERBEDA BEDA.. bintang ini hanya untuk Rasa menurut sayaa.",2
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]","Kenapa tidak sesuai deskripsi? Harusnya sambel cumi 120gr, ayam suwir 120gr, cakalang 90gr. Ini malah ayam suwirnya 90gr, sedikit kecewa☹️ tolong di cek lagi ya sebelum dikirim",2
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]","Kesalahan pertama, pengiriman yang lama bgt hampir hilang malahan. Katanya dibantu follow up, saya sabar disini. Kesalahan kedua, ternyata tidak ada informasi mengenai berat sambel (leads baru) yg berbeda dari orderan. Kesalahan ketiga, varian nya ad yg kembar dan jatuhnya tetap tidak sesuai orderan. Makasih ya eatsambel tp ga lagi",2
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]","Rasa: mnurut ku cakalangnyaa asiiinnn bangett, dn sambel nya kurang kering dn kurang berminyak.",2
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]","Nyesel Sih, packing Nya Bagus, Tempat & Segalanya Bagus banget, Tapi Pas Di cobain kok sambel Nya Udah Asem,Udah Nggk Enak lagi😭 Padahal Udah Lama Banget Pengen Nyoba, Eh Sekali Nya Nyoba Malah Asem& Basi Kek Nya",2
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]",Ga terlalu suka sih sama rasanya dan biasa biasa aja jadi kayaknya bakalan refund aja,2
,,
SAMBAL CUMI ASIN MR. CRISPY,"Untuk rasa standarrr ky sambel cumi biasanya menurutku.. tapi ini packingnya aman bgtt, pedes nya buangett klo buat yg ga terlalu suka pedes. Tp mantapp sii👍🏻 isinya jg lumayan banyak",4
SAMBAL CUMI PETE MR. CRISPY,"For the 1st time cobain sambel mr crispy, dan rasanya ternyata enak, pedesnya cukup gak asin gak lebay juga rasanya, packaging cantik banget dan pengiriman cepat serta selamat sampai tujuan, sukses terus untuk mr crispy",4
SAMBAL CUMI ASIN MR. CRISPY,"Pengemasan nya ok bangett., baguss dan aman., produk original tapi belum bisa komentar rasa karena belum dicoba., nanti buka puasa baru dicoba yaa.,, semoga enak kalo enak bakalan langganan.,, mantepp sii ini.,,",4
SAMBAL CUMI PETE MR. CRISPY,Pengemasan top banged.... Udah kardus pake bublewrap lagi.... Tempat sambalnya juga oke gk kecil.... Rasa sambalnya enak.... Pedes ... Agak asin menurut saya ... Tp tergantung selera ya... Cuminya juga isinya banyak... Gk kbykan sambal kayak toko sebelah... Intinya puas deh,4
SAMBAL CUMI ASIN MR. CRISPY,"Kualitas produk baik, packing rapi, kecepatan pengiriman baik, respon penjual baik, recomended",4
SAMBAL CUMI ASIN MR. CRISPY,"Sambelnya sih ga terlalu pedas, cumi asin nya banyak ga pelit isinya. Rasanya pas ga terlalu asin. Thanks seller",4
SAMBAL CUMI ASIN MR. CRISPY,"Pengiriman ok, kemasan keren, rapi dgn box, respon penjual ok, rasanya asin pedas mantul👌👌👌",4
SAMBAL CUMI ASIN MR. CRISPY,"Awalnya coba-coba, krn saya tipikal pedas asin sambil ini gak masuk ke lidah saya yg karakteristik rasanya asem dan asin. Tp harganya terjangkau jauh di bawah sambal lain.",4
SAMBAL CUMI ASIN MR. CRISPY,"Pengiriman relatiflah, tepat waktu. Rasanya mantap👍 Harga oke lagi, di mall Shopee lagiii. Recommended sih. Tempatnya mungil ucul, kalo udah habis tempat bisa dipake buat yg lain",4
SAMBAL CUMI PETE MR. CRISPY,"Cuminya tdk terlihat bgt mgkn menyatu dgn sambalnya, petainya cukup tercium 😂 mayan lah kl krg lauk ksh ini simple",4
SAMBAL CUMI ASIN MR. CRISPY,Rasa kurang sebanding dengan harga. Tidak fresh. Terlalu asin. Semoga bisa diperbaiki rasanya,2
SAMBAL CUMI ASIN MR. CRISPY,"JUJUR rasanya enak bg, tp utk harga segini cuminya dikit bgt nggak lebih dari 3 sendok makan mungkin. Tolong kedepannya lebih diperhatikan lagi kebersihan proses produksi nya masa di sambel sy ada lalat ijonya jd gk nafau makan. PADAHAL ENAK BGT",2
SAMBAL CUMI PETE MR. CRISPY,Isi gak bnyak Terlalu banyak sambal...,2
SAMBAL CUMI PETE MR. CRISPY,"Pengiriman super duper lama, isinya dikit cuma bisa 2 kali makan sendiri, rasanya nggak kayak sambel, enakan bikin sendiri. Yah bukan selera saya intinya,bisa jadi di saya nggak enak tapi di orang lain enak kan ya. Kemarin beli karena penasaran aja. Maaf yah",2
SAMBAL CUMI ASIN MR. CRISPY,Sambal cumi tapi kok ga ada cumi nya sama sekali. Ini mah cuma sambal aja. Maaf bintang 2 dri aku.,2
SAMBAL CUMI ASIN MR. CRISPY,"Pesan sambal cumi pertama kali enak bgt, pedes standar dan cuminya beneran asin dan empuk kenyal. Kali ini cuminya alot dan nggak asin sama sekali, sambelnya jg pedes bgt 🥲",2
SAMBAL CUMI PETE MR. CRISPY,"Baru sampe blm dicoba,mestinya rasanya mantap lah..terimakasih seller,terimakasih shopee dan terimakasih jg kurir",2
SAMBAL CUMI ASIN MR. CRISPY,"Packagingnya bagus bgttt, pengiriman juga tepat waktuu. Sempet salah harusnya sapi dikirimnya bebek tapi seller kembaliin uang lebihnya. Makasih Aku ubah penilaiannya, ternyata satu sambel yg ayam isinya asem pdhl baru dibuka bangett, syg bgt jd mubazir",2
SAMBAL CUMI PETE MR. CRISPY,Cuminya cuma 2 potong. Minyak ta buanyakk bgt,2
SAMBAL CUMI PETE MR. CRISPY,Menyesal sya beli banyak...cpt basi padahal packingan nya cukup bagus apa krna lama dipengiriman kali ya,2
,,
"Sambal cakalang lona kitchen, Variasi: Pedas normal
",Tidak terlalu pedas. Cakalang tidak terasa. Packing rapih dan aman. Pengiriman cepat sesuai jadwal.,4
"Sambal cakalang lona kitchen, Variasi: Extra Pedas
","Packingnya aman banget, bubble wrap tebel, packing box juga, adminnya juga ramah banget Pesen yg extra pedas kirain beneran bakal pedes banget tapi pas dicoba ga pedes sama sekali :( Rasa sambelnya enak tapi ikan cakalangnya agak keras",4
"Sambal cakalang lona kitchen, Variasi: Extra Pedas
","Pengemasannya bagus, tidak ada cacatnya.. Rasa sambal nya juga enak banget.",4
Sambal Naknan Bawang Level 5,Rasa: belum coba tp dari wanginya sih enak ya,4
Sambal Naknan Bawang Level 1,Rasanya enak tp lumayan pedas padahal level 1,4
Sambal Naknan Bawang Level 5,Semoga rasanya puedes dan enak Biar bisa repeat ordered,4
Sambal Naknan Bawang Level 3,"Rasa sambal enak, level 3 cukup pedas Pengemasan 3 hari, pengiriman 2 hari",4
Sambal Naknan Bawang Level 5,"Rasanya bikin nagih, recommended bgt,bsok bkl repeat order lgi,buat pecinta pedes wajib bgt coba,mksih seller, mksih kurir, mksih shopee 🙏🏻",4
Sambal Naknan Bawang Level 3,sambalnya pada blepotan.🥹😭,4
Sambal Naknan Bawang Level 3,Pengiriman super lama,4
Paket Isi 10 Sachet Naknan Sambal Bawang ,"Sambelnya enak, level tiga ngga pedes menurut saya😂 next mau pesen yang level 5",4
"Sambal cakalang lona kitchen, Variasi: Extra Pedas
","Kalau pecinta pedas pasti kurang level pedasnya (walaupun udh order yg extra pedas) Mungkin karna sambalnya pake cabe merah. Jadi ini saya tambahin ulek pake cabe rawit sm garem dikit dan dimasak lagi, jadinya toppp markotop bun.. Boleh di tiru yah 😁",4
"Sambal cakalang lona kitchen, Variasi: Pedas normal
",Pengirimannya cepat. Sambalnya lumayan pedes. Rasanya spt balado ikan tapi tergantung selera orang sih soalnya spt masakan rumah mamaku.. lumayanlah,4
"Sambal cakalang lona kitchen, Variasi: Extra Pedas
","Packegingnya super duper aman dilapisin buble wrap berlapis2 kayak tango, pesen yg extra pedas tapi masih kurang pedes utk aku thanks seller",4
"Sambal cakalang lona kitchen, Variasi: Pedas normal
","Setelah dicoba, ternyata gak pedes sama sekali. Kecewa sih..nyesel. hrs nya pilih yg extra pedas. Soalnya kok gk ada pedes2 nya. Maaf ya saya kasih bintang 4",4
"Sambal cakalang lona kitchen, Variasi: Pedas normal
","Barang sudah sampai, pengirimannya sesuai. Tutup toplesnya kurang rapat, berhubung isinya mudah tumpah jadi agak belepotan. Saran buat penjual dikasih filter lagi ditutupnya supaya packagingnya rapih. Terimakasih",4
"Sambal cakalang lona kitchen, Variasi: Pedas normal
",Rasa sambelnya lumayan enak.. ikan cakalangnya isinya banyak.. pengiriman produk standar..,4
"Sambal cakalang lona kitchen, Variasi: Extra Pedas
","Bagi saya masih kurang pedes 😁 Adminnya mau krmn gratis yg lebih pedes lagi, ntr nyampe saya ubah bintang 5. Mksh kaa",4
"Sambal cakalang lona kitchen, Variasi: Pedas normal
","Rasa Wuenak, bumbuny terasa banget, rekomended sesuai dng rasany, kualitas baik tapi sayangnya agak lama sampai tempat",2
"Sambal cakalang lona kitchen, Variasi: Extra Pedas
","Biasa aja, mahal, rasa standar",2
"SAMBAL NAGIH - SAMBAL CUMI ASIN TOPLES, Variasi: Toples 200gr",Tidak se enak yang kemasan lama Yg sekarang lebih asin dan agak basi. Komentar jujur.,2
"Eatsambel - Kemasan Icip Icip SEMUA VARIAN RASA, Variasi: 1 CAKALANG [90 GR] ","Untuk aku ini rasanya biasa aja, untuk harga segitu lumayan sih tpi gpp nyobain aja biar ga penasaran. Makasih",2
"Eatsambel - Kemasan Icip Icip SEMUA VARIAN RASA, Variasi: 1 AYAM [120 GR]","mohon maaf nih kok yg dateng 90gr padahal saya C,O nya yg 120gr 🥲 agak kecewa sih tapi gapapa",2
"Eatsambel - Kemasan Icip Icip SEMUA VARIAN RASA, Variasi: 1 AYAM [120 GR]",Kecil sedikt sekali banyak minyaknya isian ikan dan cuminya sedikit,2
"Eatsambel - Kemasan Icip Icip SEMUA VARIAN RASA, Variasi: 1 AYAM [120 GR]","Sambalnya tidak pedas,seharusnya ada varian pedas/tidak pedas.begitu",2
"Eatsambel - Kemasan Icip Icip SEMUA VARIAN RASA, Variasi: 1 AYAM [120 GR]",Agak kecewa karna di keterangan 120 gram yg dateng 90 gram,2
"Eatsambel - Kemasan Icip Icip SEMUA VARIAN RASA, Variasi: 1 AYAM [120 GR]",saya pesan dua yang varian ayam suwir excited sekali sama rasanya eh tau-taunya pas datang rasa aneh kek ada asam2 kecut kecut begitu. Kek untuk 30 ribu tidak worth it sekali sumpah. Kecewa deh,2
"Eatsambel - Kemasan Icip Icip SEMUA VARIAN RASA, Variasi: 1 CUMI [120 GR] ","utk rasa biasa aja menurut ku , lebih banyak rasa ke pedas nya aja dibanding cumi atau ikan cakalang nya .",2
"Eatsambel - Kemasan Icip Icip SEMUA VARIAN RASA, Variasi: 1 CUMI [120 GR] ",Cepat... Asin banget mnrut aku. Trus kurg pedas tp lumayanlah,2
"Eatsambel - Kemasan Icip Icip SEMUA VARIAN RASA, Variasi: 1 TUNA ASAP [120 GR] ","Kalo mau kirim jangan kaya gini lah bang lu gw beli 36ribu bisa beli nasi Padang sama gado gado, mana ngk sesuai sama di gambar banyak potongan isian dagingnya 🗿 RASA PEDES NYA ENAK TAPI LU KASIH GW 1 PTONG IKAN",2
"Eatsambel - Kemasan Icip Icip SEMUA VARIAN RASA, Variasi: 1 AYAM [120 GR]","Sampeny cpt bgtt, tp gua ga suka sama rasanya kurang enak. Sambelnya maniss bgtt bnyk minyaknya gua ga boong yaa review jujur ini, tp ayamny ga pelitt woii bnyk gt.",2
"Eatsambel - Kemasan Icip Icip SEMUA VARIAN RASA, Variasi: 1 AYAM [120 GR]","Yang cumi enak pedes.. yang ayam, sesuai klaimnya ga terlalu pedes, bahkan ga pedes menurut saya tapi ayamnya keras jadi kurang nikmat",2
"Eatsambel - Kemasan Icip Icip SEMUA VARIAN RASA, Variasi: 1 CUMI [120 GR] ","Untuk segi pengemasan si oke, tapi ini bener bener kaya udah basi. Bukannya nafsu makan malah yang ada kaya mau muntah padahal udah dipengenin dari lama sekalinya beli kaya gini Gatau deh mau ngomong apa jujur kecewa apalagi harga nya cukup mahal lah ya untuk anak kost. Niatnya buat stok akhir bulan malah gada yang bisa dimakan.",2
SAMBAL CUMI ASIN MR. CRISPY,"ok setelah aku coba ya sambelnya sumpah ini ga cocok di lidah ku ini bener bener asiiiinnnnnnnnnn bangetttt ga ada pedes nya, ga ada manisnnya, karna aku sukannya pedes manis asin ini fix ga masuk, lebih baik bikin sendiri untuk harga pun ini trlallu mahal ya trimakasih.ga akan beli lagi sepertinnta",2
SAMBAL CUMI PETAI MR. CRISPY,"mo nangisssss, rasanya asin bngt kek makan garemmmmm:((((",2
SAMBAL CUMI ASIN MR. CRISPY,Menurut aku pedes bangetttttttt😭 asin banget jugaaaa ga cocok dilidah aku🥲 packingnya rapi aman sih👍 cuma rasanya terasa bgt pengawet nya.. Enak sambal rumahan aja deh🙏 so sorry,2
"SAMBAL NAGIH - SAMBAL MATAH TOPLES, Variasi: Tanpa Toples","Umur simpan blgnya 30 hari. Tp di saya 8 hari udh basi, asem baunya. Pdhl blm dibuka samsek",2
"SAMBAL NAGIH - SAMBAL MATAH TOPLES, Variasi: Sachet ","Masalah packing n ada yg bocor,pengiriman lama dan udqh kayak bau asam",2
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]","RASA BIASA AJA KALAU MAU BELI DIPIKIR2 LAGI DLU SARAN SYA JANGAN KEMAKAN IKLAN/REVIEW. JAUH LEBIH BAIK BIKIN SAMBEL SENDIRI. SUDAH DIKONFIRMASI BERAT BERSIH 120GR DN BERAT KOTOR 220GR. BARU SYA BUKA LANGSUNG KAGET KARNA ISINYA KURANG DARI SETENGAH CUP SAMBAL, LANGSUNG SYA TIMBANG DAN HASILNYA SANGAT TIDAK SESUAI DENGAN BERAT KOTOR YG DI SAMPAIKAN ADMIN.",1
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]","Maaf ya eat sambel saya kasih riview buruk, ini sumpah sejujur jujurny, saya beli paket icip , dan seneng banget sama cumi, dan ini pertama kali saya cobain sambelny eat sambel, eh baru saya cobain stengaah cupny, pake nasi putih doang, itu setengah cupny bnyak cabe doang, dan cuminy itu potongan baby cumi dan dikit bnget, , hambar dan pedes doang rasanya, bad",1
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]","bener bener isinya setengahpun ga ada,kenapa kemasannya gede dan isinya seiprit gini,baru ambil yang cumi dan cuminya juga seiprit🥲🥲",1
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]","Padahal liat orang review ini sambel kek bikin ngiler, terus pas nyampe exited bgt dan ternyata gatau gua dapet sialnya ini yg ayam suir sumpah asem bgt bgt ya Allah seasem itu. Padahal expirednya masih lama tapi ga ngerti juga kenapa bisa seasem ini",1
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]",Awal beli yg cumi nya doang suka bgt enak beli yg ke 2 kali biar beli yg agak banyak dikit malh basi. Lain kali di perhatiin lgi ya admin,1
"SAMBAL NAGIH - SAMBAL CUMI ASIN TOPLES, Variasi: Toples 200gr",Saya pesen sambal cumi yang datang malah sambal nagih matah,1
"SAMBAL NAGIH - SAMBAL CUMI ASIN TOPLES, Variasi: Toples 200gr",B aja,1
SAMBAL NAGIH - ANEKA SAMBAL ICIP ICIP VARIASI BAWANG ICIP 35 GR,Pengiriman nya lama dengan si cepat reguler,1
By NCC Sambel Matah Pedas Gurih Ala Rumahan / Bumbu Masak Makanan Cepat Saji Termurah,"Kelamaan di jalan apalagi pengiriman pake si cepat halu selalu nyasar, padahal pake ekspedisi lain kyk JNT atau JNE selalu bagus. Alhasil basi karena kelamaan di pengiriman. Rasanya udah asem dan minyaknya bleber. Mau retur tp pengirimannya aja hampir seminggu:))",1
By NCC Sambel Matah Pedas Gurih Ala Rumahan / Bumbu Masak Makanan Cepat Saji Termurah,"Packing kurang rapi, sampe paketnya dibuka aja semua uda berminyak kali smpe meleber kemana” Uda pernah coba punya kawan karna perna beli, rasa enak makanya decided utk beli Cmn pertama kali beli uda kecewa karna packing ga rapi dan berminyakan smpe kemana mana",1
By NCC Sambel Matah Pedas Gurih Ala Rumahan / Bumbu Masak Makanan Cepat Saji Termurah,"pemesanan kedua sgt kecewa, minyak tumpah dimana mana dan rasanya sudah asem sprti basi..",1
By NCC Sambel Matah Pedas Gurih Ala Rumahan / Bumbu Masak Makanan Cepat Saji Termurah,Tuk luar pulau jawa saya rasa tidak di rekomendasikan.,1
By NCC Sambel Matah Pedas Gurih Ala Rumahan / Bumbu Masak Makanan Cepat Saji Termurah,"sudah basi saat diterima. pengiriman dg sicepat sampai seminggu, padahal satu kota jakarta.",1
"SamBhojo - Sambal Sachet 20gr, Variasi: Sambal Baby cumi,Jinak","Rasa asin doang, isi topingnya sedikitt , udah kapok,cukup order 1x aja",1
"SamBhojo - Sambal Sachet 20gr, Variasi: Sambal Udang,Galak",Sambal botol nya tdk ada Hanya ada sambal sachet Minta tolong dikirim dong Di chat gak ada respon,1
"SamBhojo - Sambal Sachet 20gr, Variasi: Baby cumi Pete,Galak",Minta varian rasa beda yg d kirim sama rasa,1
"SamBhojo - Sambal Sachet 20gr, Variasi: Sambal Baby cumi,Galak",Pengirim dari penjual cepet tapi pengiriman kurir sangat telat pakek sicepat halu selalu telat tdk tepat waktu,1
"SamBhojo - Sambal Sachet 20gr, Variasi: Roa Asap,Galak","Maaf segini bintang nya, maaf maaf Pertama kali nyoba sambelnya enak, bener² enak. Tiba-tiba malemnya sakit perut, bener² sakit",1
"SamBhojo - Sambal Sachet 20gr, Variasi: Sambal bawang pete,Galak",Maaf saya kasih bintang 1 rasa sambel nya nggk enak... Bikin neg trs makan sambel malah jadi nya mual... Order sambal ati... Ati nya masih mentah trs rasanya juga nggk enak banget... Jadi nya malah aku buang ...,1
